f,G_stor,G_loss,T,Set
Hz,GPa,GPa,C,-
0.1,1.941,0.07008,30.26,0
0.13,1.944,0.07048,30.19,0
0.16,1.953,0.06981,30,0
0.2,1.961,0.06864,30,0
0.25,1.968,0.06817,30,0
0.32,1.976,0.06741,30,0
0.4,1.983,0.06703,30.01,0
0.5,1.99,0.06637,30,0
0.63,1.998,0.06599,30,0
0.79,2.007,0.06561,30,0
1,2.014,0.06514,30,0
1.3,2.021,0.06465,30,0
1.6,2.027,0.06454,30,0
2,2.033,0.06426,30,0
2.5,2.039,0.06404,30,0
3.2,2.046,0.06356,30,0
5,2.058,0.06416,30.01,0
6.3,2.064,0.06453,30,0
7.9,2.069,0.0649,30,0
10,2.076,0.06559,30,0
12.6,2.082,0.0664,30,0
15.8,2.087,0.06769,30,0
19,2.093,0.06891,30,0
25,2.1,0.07117,30,0
31.6,2.106,0.07372,30,0
39.8,2.112,0.07672,30,0
50,2.119,0.0814,30,0
79.5,2.137,0.09734,30,0
100,2.141,0.1023,30,0
